|----------------------------------------|----------|
|English Word                            |Count     |
|----------------------------------------|----------|
|a                                       |42375     |
|----------------------------------------|----------|
|the                                     |30337     |
|----------------------------------------|----------|
|of                                      |14030     |
|----------------------------------------|----------|
|to                                      |9274      |
|----------------------------------------|----------|
|influencing                             |8879      |
|----------------------------------------|----------|
|is                                      |4610      |
|----------------------------------------|----------|
|for                                     |4077      |
|----------------------------------------|----------|
|on                                      |3707      |
|----------------------------------------|----------|
|was                                     |3006      |
|----------------------------------------|----------|
|that                                    |2729      |
|----------------------------------------|----------|
|with                                    |2663      |
|----------------------------------------|----------|
|by                                      |2648      |
|----------------------------------------|----------|
|its                                     |2412      |
|----------------------------------------|----------|
|or                                      |2372      |
|----------------------------------------|----------|
|from                                    |1752      |
|----------------------------------------|----------|
|not                                     |1634      |
|----------------------------------------|----------|
|history                                 |1440      |
|----------------------------------------|----------|
|behavior                                |1436      |
|----------------------------------------|----------|
|which                                   |1405      |
|----------------------------------------|----------|
|this                                    |1390      |
|----------------------------------------|----------|
|were                                    |1284      |
|----------------------------------------|----------|
|help                                    |1202      |
|----------------------------------------|----------|
|some                                    |1178      |
|----------------------------------------|----------|
|have                                    |1051      |
|----------------------------------------|----------|
|has                                     |967       |
|----------------------------------------|----------|
|can                                     |905       |
|----------------------------------------|----------|
|had                                     |887       |
|----------------------------------------|----------|
|but                                     |856       |
|----------------------------------------|----------|
|otherwise                               |800       |
|----------------------------------------|----------|
|been                                    |735       |
|----------------------------------------|----------|
|who                                     |721       |
|----------------------------------------|----------|
|first                                   |710       |
|----------------------------------------|----------|
|most                                    |699       |
|----------------------------------------|----------|
|news                                    |674       |
|----------------------------------------|----------|
|more                                    |659       |
|----------------------------------------|----------|
|states                                  |657       |
|----------------------------------------|----------|
|such                                    |643       |
|----------------------------------------|----------|
|time                                    |641       |
|----------------------------------------|----------|
|war                                     |618       |
|----------------------------------------|----------|
|two                                     |598       |
|----------------------------------------|----------|
|years                                   |574       |
|----------------------------------------|----------|
|know                                    |559       |
|----------------------------------------|----------|
|into                                    |542       |
|----------------------------------------|----------|
|many                                    |532       |
|----------------------------------------|----------|
|large                                   |530       |
|----------------------------------------|----------|
|than                                    |529       |
|----------------------------------------|----------|
|over                                    |528       |
|----------------------------------------|----------|
|however                                 |524       |
|----------------------------------------|----------|
|used                                    |516       |
|----------------------------------------|----------|
|world                                   |512       |
|----------------------------------------|----------|
|when                                    |510       |
|----------------------------------------|----------|
|system                                  |492       |
|----------------------------------------|----------|
|out                                     |489       |
|----------------------------------------|----------|
|between                                 |475       |
|----------------------------------------|----------|
